,year,month,day,Latitude,Longitude,WnvPresent,Tavg,DewPoint,WetBulb,PrecipTotal,ResultSpeed,ResultDir,AvgSpeed,Code,Species_CULEX PIPIENS,Species_CULEX PIPIENS/RESTUANS,Species_CULEX RESTUANS,Species_CULEX SALINARIUS,Species_CULEX TARSALIS,Species_CULEX TERRITANS,Species_UNSPECIFIED CULEX,day_of_week_Mon,day_of_week_Thu,day_of_week_Tue,day_of_week_Wed
0,2007,05,29,41.95469,-87.800991,0.0,74.0,58,65,0.0,5.8,18,6.5,1,0,1,0,0,0,0,0,0,0,1,0
1,2007,05,29,41.95469,-87.800991,0.0,74.0,58,65,0.0,5.8,18,6.5,1,0,0,1,0,0,0,0,0,0,1,0
2,2007,05,29,41.994991,-87.769279,0.0,74.0,58,65,0.0,5.8,18,6.5,1,0,0,1,0,0,0,0,0,0,1,0
3,2007,05,29,41.974089,-87.824812,0.0,74.0,58,65,0.0,5.8,18,6.5,1,0,1,0,0,0,0,0,0,0,1,0
4,2007,05,29,41.974089,-87.824812,0.0,74.0,58,65,0.0,5.8,18,6.5,1,0,0,1,0,0,0,0,0,0,1,0
5,2007,05,29,41.999129,-87.795585,0.0,74.0,58,65,0.0,5.8,18,6.5,1,0,1,0,0,0,0,0,0,0,1,0
6,2007,05,29,42.01743,-87.68776899999997,0.0,74.0,58,65,0.0,5.8,18,6.5,1,0,1,0,0,0,0,0,0,0,1,0
7,2007,05,29,41.9216,-87.666455,0.0,76.5,59,66,0.0,5.8,16,7.4,1,0,0,1,0,0,0,0,0,0,1,0
8,2007,05,29,41.891118,-87.65449100000002,0.0,76.5,59,66,0.0,5.8,16,7.4,1,0,0,1,0,0,0,0,0,0,1,0
9,2007,05,29,41.867108,-87.654224,0.0,76.5,59,66,0.0,5.8,16,7.4,1,0,1,0,0,0,0,0,0,0,1,0
10,2007,05,29,41.867108,-87.654224,0.0,76.5,59,66,0.0,5.8,16,7.4,1,0,0,1,0,0,0,0,0,0,1,0
11,2007,05,29,41.896282,-87.655232,0.0,76.5,59,66,0.0,5.8,16,7.4,1,0,0,1,0,0,0,0,0,0,1,0
12,2007,05,29,41.919343,-87.694259,0.0,76.5,59,66,0.0,5.8,16,7.4,1,0,1,0,0,0,0,0,0,0,1,0
13,2007,05,29,41.921965,-87.632085,0.0,76.5,59,66,0.0,5.8,16,7.4,1,0,1,0,0,0,0,0,0,0,1,0
14,2007,05,29,41.921965,-87.632085,0.0,76.5,59,66,0.0,5.8,16,7.4,1,0,0,1,0,0,0,0,0,0,1,0
15,2007,05,29,41.688324,-87.676709,0.0,76.5,59,66,0.0,5.8,16,7.4,1,0,1,0,0,0,0,0,0,0,1,0
16,2007,05,29,41.688324,-87.676709,0.0,76.5,59,66,0.0,5.8,16,7.4,1,0,0,1,0,0,0,0,0,0,1,0
17,2007,05,29,41.862292,-87.64886,0.0,76.5,59,66,0.0,5.8,16,7.4,1,0,0,1,0,0,0,0,0,0,1,0
18,2007,05,29,41.720848,-87.666014,0.0,76.5,59,66,0.0,5.8,16,7.4,1,0,0,1,0,0,0,0,0,0,1,0
19,2007,05,29,41.731922,-87.677512,0.0,76.5,59,66,0.0,5.8,16,7.4,1,0,0,1,0,0,0,0,0,0,1,0
20,2007,05,29,41.731922,-87.677512,0.0,76.5,59,66,0.0,5.8,16,7.4,1,1,0,0,0,0,0,0,0,0,1,0
21,2007,05,29,41.891126,-87.61156,0.0,76.5,59,66,0.0,5.8,16,7.4,1,0,1,0,0,0,0,0,0,0,1,0
22,2007,05,29,41.891126,-87.61156,0.0,76.5,59,66,0.0,5.8,16,7.4,1,0,0,1,0,0,0,0,0,0,1,0
23,2007,05,29,41.907645,-87.760886,0.0,76.5,59,66,0.0,5.8,16,7.4,1,0,0,1,0,0,0,0,0,0,1,0
24,2007,05,29,41.732984,-87.649642,0.0,76.5,59,66,0.0,5.8,16,7.4,1,0,0,1,0,0,0,0,0,0,1,0
25,2007,06,05,41.95469,-87.800991,0.0,55.5,48,51,0.42,5.2,5,7.6,1,0,1,0,0,0,0,0,0,0,1,0
26,2007,06,05,41.95469,-87.800991,0.0,55.5,48,51,0.42,5.2,5,7.6,1,0,0,1,0,0,0,0,0,0,1,0
27,2007,06,05,41.95469,-87.800991,0.0,55.5,48,51,0.42,5.2,5,7.6,1,1,0,0,0,0,0,0,0,0,1,0
28,2007,06,05,41.974089,-87.824812,0.0,55.5,48,51,0.42,5.2,5,7.6,1,0,1,0,0,0,0,0,0,0,1,0
29,2007,06,05,41.974089,-87.824812,0.0,55.5,48,51,0.42,5.2,5,7.6,1,0,0,1,0,0,0,0,0,0,1,0
30,2007,06,05,41.999129,-87.795585,0.0,55.5,48,51,0.42,5.2,5,7.6,1,0,1,0,0,0,0,0,0,0,1,0
31,2007,06,05,41.999129,-87.795585,0.0,55.5,48,51,0.42,5.2,5,7.6,1,0,0,1,0,0,0,0,0,0,1,0
32,2007,06,05,41.98196400000001,-87.812827,0.0,55.5,48,51,0.42,5.2,5,7.6,1,0,0,1,0,0,0,0,0,0,1,0
33,2007,06,05,41.944869,-87.832763,0.0,55.5,48,51,0.42,5.2,5,7.6,1,0,0,1,0,0,0,0,0,0,1,0
34,2007,06,05,42.011601,-87.81150600000002,0.0,55.5,48,51,0.42,5.2,5,7.6,1,0,0,1,0,0,0,0,0,0,1,0
35,2007,06,05,41.979243,-87.750938,0.0,55.5,48,51,0.42,5.2,5,7.6,1,0,0,1,0,0,0,0,0,0,1,0
36,2007,06,05,41.986921,-87.689778,0.0,55.5,48,51,0.42,5.2,5,7.6,1,0,0,1,0,0,0,0,0,0,1,0
37,2007,06,05,41.961743,-87.76007,0.0,55.5,48,51,0.42,5.2,5,7.6,1,0,1,0,0,0,0,0,0,0,1,0
38,2007,06,05,41.961743,-87.76007,0.0,55.5,48,51,0.42,5.2,5,7.6,1,0,0,1,0,0,0,0,0,0,1,0
39,2007,06,05,41.953067,-87.776792,0.0,55.5,48,51,0.42,5.2,5,7.6,1,0,1,0,0,0,0,0,0,0,1,0
40,2007,06,05,41.953067,-87.776792,0.0,55.5,48,51,0.42,5.2,5,7.6,1,0,0,1,0,0,0,0,0,0,1,0
